neighborhood,building_id,algorithm,distance_meters,time_minutes,time_seconds,num_traffic_signals,num_crossings,safety_penalties,total_cost,detour_factor,straight_line_distance,num_path_nodes,avg_walking_speed_kmh,signal_density_per_100m,nodes_expanded_forward,nodes_expanded_backward,edges_scanned_forward,edges_scanned_backward,expansions_total,edges_scanned_total
neighborhoodOldV,361968696,shortest path,1341.411687519418,16.562902290178144,993.7741374106886,0,0,4510.0,1341.411687519418,1.5068135735454868,890.2306901597102,58,4.859335630983755,0.0,180,193,446,507,373,953
neighborhoodOldV,361968696,few_traffic_lights path,1341.411687519418,16.562902290178144,993.7741374106886,0,0,4510.0,469.4940906317961,1.5068135735454868,890.2306901597102,58,4.859335630983755,0.0,179,210,442,552,389,994
neighborhoodOldV,361968696,safest path,1384.6119567743983,16.931588972113673,1015.8953383268204,0,1,3370.0,4754.611956774399,1.5553406235927392,890.2306901597102,62,4.906610805594871,0.0,60,589,135,1485,649,1620
neighborhoodOldV,361968696,fastest path,1343.3172480587643,16.39352196213146,983.6113177278876,0,0,5150.0,983.6113177278876,1.5089540979740532,890.2306901597102,66,4.91651733347521,0.0,188,237,463,625,425,1088
neighborhoodOldV,361968697,shortest path,1420.2094950442433,17.372811392300417,1042.368683538025,0,0,5190.0,1420.2094950442433,1.6425190784517685,864.6532717190273,69,4.904938399343965,0.0,113,243,283,633,356,916
neighborhoodOldV,361968697,few_traffic_lights path,1420.2094950442433,17.372811392300417,1042.368683538025,0,0,5190.0,497.0733232654851,1.6425190784517685,864.6532717190273,69,4.904938399343965,0.0,115,268,288,702,383,990
neighborhoodOldV,361968697,safest path,1539.8649103674386,21.0284745127468,1261.708470764808,5,0,3370.0,4909.864910367436,1.7809045090479043,864.6532717190273,49,4.393656542515306,0.3247038078688937,57,747,128,1873,804,2001
neighborhoodOldV,361968697,fastest path,1420.8241855306164,17.350397733388895,1041.0238640033338,0,0,5380.0,1041.0238640033338,1.643229988253973,864.6532717190273,68,4.913400398181303,0.0,104,284,259,745,388,1004
neighborhoodOldV,361968699,shortest path,1131.138203026247,16.53352688273232,992.0116129639393,5,0,4040.0,1131.138203026247,1.49688507741072,755.661353096569,39,4.104888972748864,0.44203263461732617,228,194,578,511,422,1089
neighborhoodOldV,361968699,few_traffic_lights path,1210.5595668831531,15.104694685961096,906.2816811576657,0,0,5020.0,423.69584840910346,1.6019868713974723,755.661353096569,56,4.80867541669,0.0,176,222,441,581,398,1022
